                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  4.212,                 4.7947,                 4.9479,                      0,                      0,                      0,                      0,                 4.9267,                 5.0002,                 4.1583,                  4e-05,                  4e-05,                  4e-05
                      2,                 4.3168,                 4.5896,                 4.7676,                      0,                      0,                      0,                      0,                 4.9262,                 4.9999,                 4.1578,              9.604e-05,              9.604e-05,              9.604e-05
                      3,                 4.0546,                 4.4066,                 4.5264,                      0,                      0,                      0,                      0,                 4.9263,                 4.9977,                  4.158,             0.00014733,             0.00014733,             0.00014733
                      4,                 3.5744,                 4.5373,                 4.6154,                      0,                      0,                      0,                      0,                 4.9274,                 4.9933,                 4.1592,             0.00019386,             0.00019386,             0.00019386
                      5,                 3.2494,                 4.1981,                 4.2965,                      0,                      0,                      0,                      0,                 4.9299,                 4.9881,                 4.1617,             0.00023565,             0.00023565,             0.00023565
                      6,                 3.5082,                 3.6938,                 4.0851,                      0,                      0,                      0,                      0,                 4.9326,                 4.9842,                 4.1645,             0.00027268,             0.00027268,             0.00027268
                      7,                 2.8916,                 3.7693,                  4.207,                      0,                      0,                      0,                      0,                 4.9395,                 4.9796,                 4.1715,             0.00030496,             0.00030496,             0.00030496
                      8,                 2.7734,                 3.5513,                 3.9145,                      0,                      0,                      0,                      0,                 4.9438,                 4.9773,                  4.176,             0.00033249,             0.00033249,             0.00033249
                      9,                 3.1946,                 3.3532,                 3.9113,                      0,                      0,                      0,                      0,                 4.9542,                 4.9733,                 4.1871,             0.00035526,             0.00035526,             0.00035526
                     10,                  3.232,                 3.1343,                 3.8516,                      0,                      0,                      0,                      0,                 4.9603,                 4.9717,                 4.1936,             0.00037329,             0.00037329,             0.00037329
                     11,                 3.0096,                  3.159,                 3.9579,                      0,                      0,                      0,                      0,                 4.9748,                 4.9639,                 4.2092,             0.00038656,             0.00038656,             0.00038656
                     12,                 2.5296,                 3.1444,                 3.6736,                      0,                      0,                      0,                      0,                  4.982,                 4.9581,                 4.2171,             0.00039508,             0.00039508,             0.00039508
                     13,                 2.6953,                 3.4351,                 3.5665,                      0,                      0,                      0,                      0,                 4.9977,                 4.9422,                 4.2356,             0.00039885,             0.00039885,             0.00039885
                     14,                 2.9356,                 3.3234,                 3.6615,                      0,                      0,                      0,                      0,                 5.0062,                 4.9295,                 4.2451,             0.00039786,             0.00039786,             0.00039786
                     15,                 2.6505,                 2.8375,                 3.4195,                      0,                      0,                      0,                      0,                 5.0232,                 4.8864,                 4.2648,             0.00039213,             0.00039213,             0.00039213
                     16,                 2.2291,                 3.5159,                  3.004,                      0,                      0,                      0,                      0,                 5.0298,                 4.8597,                  4.273,             0.00038164,             0.00038164,             0.00038164
                     17,                 2.5823,                 3.5474,                  3.177,                      0,                      0,                      0,                      0,                 5.0426,                 4.8052,                 4.2897,              0.0003664,              0.0003664,              0.0003664
                     18,                 2.3224,                 3.4675,                 2.9702,                      0,                      0,                      0,                      0,                 5.0436,                 4.7634,                 4.2994,             0.00034641,             0.00034641,             0.00034641
                     19,                 1.9771,                 3.3569,                 2.8603,                      0,                      0,                      0,                      0,                  5.049,                 4.7617,                 4.3068,             0.00032166,             0.00032166,             0.00032166
                     20,                  1.811,                 3.1011,                 2.6831,                      0,                      0,                      0,                      0,                 5.0524,                 4.7472,                  4.312,             0.00029217,             0.00029217,             0.00029217
                     21,                 1.8789,                 3.0538,                 2.7995,                      0,                      0,                      0,                      0,                 5.0534,                 4.7232,                 4.3142,             0.00025792,             0.00025792,             0.00025792
                     22,                 1.8338,                 2.5677,                 2.7473,                      0,                      0,                      0,                      0,                 5.0476,                 4.7279,                 4.3149,             0.00021892,             0.00021892,             0.00021892
                     23,                 1.8756,                 2.6014,                  2.663,                      0,                      0,                      0,                      0,                 5.0466,                 4.7212,                 4.3148,             0.00017517,             0.00017517,             0.00017517
                     24,                 1.9504,                 3.1034,                 2.7893,                      0,                      0,                      0,                      0,                 5.0386,                 4.7334,                 4.3165,             0.00012666,             0.00012666,             0.00012666
                     25,                 1.9694,                  2.844,                 2.8332,                      0,                      0,                      0,                      0,                  5.036,                 4.7311,                 4.3144,             7.3408e-05,             7.3408e-05,             7.3408e-05
