                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                0.72557,                 4.2544,                 1.2172,                0.93542,                0.90909,                0.96198,                0.91651,                0.29936,                 2.6989,                 0.8743,                  0.091,                  0.001,                  0.001
                      1,                0.46792,                 1.1476,                 1.0313,                0.99738,                      1,                  0.995,                0.95144,                0.32191,                0.62904,                0.88954,               0.081079,              0.0020792,              0.0020792
                      2,                0.46522,                0.51967,                 1.0437,                0.95641,                0.99746,                0.99326,                0.95442,                 0.3405,                0.44254,                0.89697,               0.071137,              0.0031366,              0.0031366
                      3,                0.39802,                0.39071,                 0.9671,                0.99773,                      1,                  0.995,                0.96154,                 0.3351,                0.26437,                0.88778,               0.061172,              0.0041723,              0.0041723
                      4,                 0.4795,                0.50629,                  0.968,                0.99705,                      1,                  0.995,                0.91424,                0.42642,                0.65314,                0.95188,               0.051186,              0.0051862,              0.0051862
                      5,                0.43259,                0.48856,                0.94147,                0.99625,                      1,                  0.995,                0.90516,                0.46359,                 0.4894,                 1.0478,               0.041178,              0.0061782,              0.0061782
                      6,                0.47505,                0.60973,                0.96717,                      1,                0.99524,                  0.995,                0.88729,                0.46207,                 0.4499,                  1.101,               0.031149,              0.0071486,              0.0071486
                      7,                0.50228,                 0.4702,                0.99751,                0.98927,                      1,                  0.995,                0.90836,                0.49142,                 0.5642,                 1.0056,               0.021097,              0.0080971,              0.0080971
                      8,                0.49385,                0.57939,                0.99377,                0.95063,                      1,                  0.995,                0.93561,                0.37901,                0.41201,                0.90942,               0.011024,              0.0090238,              0.0090238
                      9,                0.51794,                0.52839,                 1.0127,                0.99609,                      1,                  0.995,                0.89246,                0.49068,                0.67503,                0.99666,               0.009109,               0.009109,               0.009109
                     10,                0.57381,                0.63723,                 1.0232,                0.70343,                0.68182,                0.78964,                0.65459,                0.73702,                  2.749,                 1.4053,               0.009109,               0.009109,               0.009109
                     11,                0.49305,                0.50594,                0.98825,                      1,                0.89394,                0.96436,                0.76414,                0.76579,                0.70729,                  1.137,                0.00901,                0.00901,                0.00901
                     12,                0.58967,                0.47189,                 1.0252,                0.95592,                      1,                  0.995,                 0.8561,                0.62026,                0.79258,                 1.0398,               0.008911,               0.008911,               0.008911
                     13,                0.59498,                0.45988,                 1.0029,                  0.943,                      1,                  0.995,                0.87016,                0.49957,                 1.0585,                 1.0228,               0.008812,               0.008812,               0.008812
                     14,                0.52898,                0.44791,                0.96941,                0.95609,                0.99018,                0.98935,                 0.9128,                0.40315,                0.47271,                0.89891,               0.008713,               0.008713,               0.008713
                     15,                0.51982,                0.41636,                0.98264,                0.99633,                      1,                  0.995,                0.93306,                0.43979,                0.43312,                0.95685,               0.008614,               0.008614,               0.008614
                     16,                0.54723,                0.43785,                0.97796,                0.99384,                0.95455,                0.99326,                0.89377,                0.45977,                0.42265,                 1.0102,               0.008515,               0.008515,               0.008515
                     17,                0.50778,                0.41043,                0.97602,                0.92426,                0.95455,                0.97758,                0.87578,                0.51303,                0.52738,                0.99542,               0.008416,               0.008416,               0.008416
                     18,                0.55242,                 0.4274,                0.97429,                0.91036,                      1,                 0.9875,                0.90235,                 0.4353,                0.42002,                 1.0034,               0.008317,               0.008317,               0.008317
                     19,                 0.5572,                0.43475,                0.96131,                0.99594,                      1,                  0.995,                0.92264,                0.39399,                0.32443,                0.92395,               0.008218,               0.008218,               0.008218
                     20,                0.46261,                 0.4008,                0.94995,                0.99704,                      1,                  0.995,                0.90122,                0.42336,                0.34726,                0.91628,               0.008119,               0.008119,               0.008119
                     21,                0.49661,                 0.3885,                0.97338,                0.99671,                      1,                  0.995,                0.90504,                0.43956,                0.37341,                0.91017,                0.00802,                0.00802,                0.00802
                     22,                0.51413,                 0.4203,                0.96737,                0.99719,                      1,                  0.995,                0.91109,                0.41143,                0.33102,                0.91446,               0.007921,               0.007921,               0.007921
                     23,                0.50872,                0.40493,                0.97925,                0.99718,                      1,                  0.995,                0.92265,                0.40437,                0.34968,                0.93434,               0.007822,               0.007822,               0.007822
                     24,                0.50047,                0.37885,                0.96971,                      1,                0.99515,                  0.995,                0.93938,                 0.3553,                0.57249,                0.93963,               0.007723,               0.007723,               0.007723
                     25,                0.47889,                0.35438,                0.94643,                0.94239,                0.95455,                0.95076,                0.88652,                0.41269,                 1.8473,                0.92774,               0.007624,               0.007624,               0.007624
                     26,                0.54071,                0.39464,                0.94842,                0.92935,                0.95455,                0.98433,                0.89511,                0.43026,                 1.0263,                0.92747,               0.007525,               0.007525,               0.007525
                     27,                0.49368,                0.37001,                0.96582,                0.97041,                0.95455,                0.99326,                0.90618,                0.44863,                0.56247,                0.95852,               0.007426,               0.007426,               0.007426
                     28,                0.49844,                0.37368,                0.96477,                0.98597,                0.95455,                0.99167,                0.90386,                0.45715,                0.47433,                0.95576,               0.007327,               0.007327,               0.007327
                     29,                0.49969,                0.38766,                0.99147,                0.90593,                      1,                 0.9856,                0.91066,                0.43575,                0.73014,                0.98424,               0.007228,               0.007228,               0.007228
                     30,                 0.5048,                0.39462,                0.94791,                0.94311,                      1,                0.98717,                0.91046,                 0.3983,                0.44171,                0.93082,               0.007129,               0.007129,               0.007129
                     31,                0.50486,                0.38433,                0.96309,                0.93012,                      1,                0.98935,                0.92072,                0.38919,                 0.6801,                0.88656,                0.00703,                0.00703,                0.00703
                     32,                 0.4707,                0.36827,                0.95211,                0.95485,                      1,                  0.995,                0.90847,                0.44162,                0.42968,                0.92262,               0.006931,               0.006931,               0.006931
                     33,                0.47161,                0.36847,                0.93387,                0.99552,                      1,                  0.995,                0.96961,                0.35595,                0.33043,                0.88738,               0.006832,               0.006832,               0.006832
                     34,                0.46872,                0.37884,                 0.9324,                0.99767,                      1,                  0.995,                0.92648,                0.36722,                0.31857,                0.89464,               0.006733,               0.006733,               0.006733
                     35,                0.43638,                0.36868,                0.93947,                0.99793,                      1,                  0.995,                0.96287,                0.37076,                0.28986,                0.86023,               0.006634,               0.006634,               0.006634
                     36,                0.48423,                0.38127,                0.95676,                      1,                 0.9941,                  0.995,                0.93683,                 0.3551,                0.31402,                0.86012,               0.006535,               0.006535,               0.006535
                     37,                0.49109,                0.38274,                0.95962,                0.99158,                      1,                  0.995,                0.92069,                0.47312,                0.39554,                 1.0152,               0.006436,               0.006436,               0.006436
                     38,                0.44809,                0.35742,                 0.9531,                0.99146,                      1,                  0.995,                0.90661,                0.42791,                0.44052,                0.95068,               0.006337,               0.006337,               0.006337
                     39,                0.46127,                0.37016,                0.95028,                0.95575,                0.98221,                0.99326,                0.92584,                0.38427,                0.54046,                0.88582,               0.006238,               0.006238,               0.006238
                     40,                0.45801,                0.37232,                0.94789,                0.96141,                      1,                  0.995,                0.93428,                0.37161,                 0.7058,                 0.8616,               0.006139,               0.006139,               0.006139
                     41,                0.41887,                0.34341,                0.91933,                0.98579,                      1,                  0.995,                0.95308,                0.35414,                0.42795,                0.87902,                0.00604,                0.00604,                0.00604
                     42,                0.42889,                0.33882,                0.93065,                0.99602,                      1,                  0.995,                0.92647,                0.39032,                0.35578,                0.86772,               0.005941,               0.005941,               0.005941
                     43,                0.46567,                0.35782,                0.96145,                0.99482,                      1,                  0.995,                 0.9454,                0.37961,                0.32886,                0.86762,               0.005842,               0.005842,               0.005842
                     44,                0.41326,                0.33897,                0.90141,                0.99237,                      1,                  0.995,                0.91504,                0.40271,                0.37202,                 0.8904,               0.005743,               0.005743,               0.005743
                     45,                0.42619,                0.33053,                0.92665,                0.97857,                0.95455,                0.98339,                 0.8959,                0.37826,                0.34675,                0.88542,               0.005644,               0.005644,               0.005644
                     46,                0.40918,                0.33813,                0.93288,                0.95513,                      1,                  0.995,                0.97117,                0.32446,                0.34005,                0.88625,               0.005545,               0.005545,               0.005545
                     47,                0.41143,                0.32034,                0.92981,                0.99561,                      1,                  0.995,                0.95052,                0.34479,                 0.3603,                0.86988,               0.005446,               0.005446,               0.005446
                     48,                0.40199,                0.31296,                0.91119,                0.99608,                      1,                  0.995,                0.94327,                0.31593,                0.34946,                0.87195,               0.005347,               0.005347,               0.005347
                     49,                0.44695,                0.33238,                0.94534,                0.99669,                      1,                  0.995,                0.95899,                0.30439,                0.40119,                0.84872,               0.005248,               0.005248,               0.005248
                     50,                0.42025,                0.31505,                0.92447,                0.99735,                      1,                  0.995,                0.95626,                0.31359,                0.37578,                0.86105,               0.005149,               0.005149,               0.005149
                     51,                 0.4221,                0.31531,                0.93867,                0.99722,                      1,                  0.995,                0.95351,                0.31378,                0.26247,                0.86558,                0.00505,                0.00505,                0.00505
                     52,                0.41027,                0.32253,                   0.93,                0.99749,                      1,                  0.995,                0.94863,                0.31501,                0.23277,                0.88276,               0.004951,               0.004951,               0.004951
                     53,                0.37998,                0.30313,                0.91286,                0.99759,                      1,                  0.995,                0.94191,                0.32932,                0.25968,                0.87241,               0.004852,               0.004852,               0.004852
                     54,                0.40601,                0.31816,                0.91098,                 0.9971,                      1,                  0.995,                0.95555,                0.33946,                0.26215,                0.86704,               0.004753,               0.004753,               0.004753
                     55,                0.39201,                0.30396,                0.92673,                0.99698,                      1,                  0.995,                0.96197,                 0.3245,                0.25212,                0.88551,               0.004654,               0.004654,               0.004654
                     56,                0.40325,                0.31836,                0.94285,                0.99642,                      1,                  0.995,                 0.9657,                  0.323,                 0.2617,                0.88291,               0.004555,               0.004555,               0.004555
                     57,                0.39758,                0.30246,                0.92246,                0.99219,                      1,                  0.995,                 0.9343,                0.34083,                 0.2604,                0.86727,               0.004456,               0.004456,               0.004456
                     58,                0.37228,                 0.3164,                 0.9054,                0.99357,                      1,                  0.995,                0.96414,                0.30034,                0.24251,                0.88884,               0.004357,               0.004357,               0.004357
                     59,                0.39746,                0.31288,                0.93031,                0.99669,                      1,                  0.995,                0.94575,                0.33967,                0.25457,                0.91822,               0.004258,               0.004258,               0.004258
                     60,                0.39368,                 0.3035,                0.92266,                0.99652,                      1,                  0.995,                0.95556,                 0.3053,                0.25446,                 0.9165,               0.004159,               0.004159,               0.004159
                     61,                0.38551,                0.31289,                0.90798,                0.97391,                      1,                  0.995,                0.97333,                0.30188,                0.26105,                0.89751,                0.00406,                0.00406,                0.00406
                     62,                0.36447,                0.28803,                0.90345,                0.99688,                      1,                  0.995,                 0.9651,                0.32115,                0.26659,                0.87776,               0.003961,               0.003961,               0.003961
                     63,                0.39288,                0.29523,                 0.9191,                0.99719,                      1,                  0.995,                0.95023,                0.32233,                0.23367,                0.86564,               0.003862,               0.003862,               0.003862
                     64,                0.36145,                0.28448,                0.90905,                0.99739,                      1,                  0.995,                0.95539,                0.31781,                0.22445,                0.84191,               0.003763,               0.003763,               0.003763
                     65,                0.36898,                0.28466,                0.89825,                0.99733,                      1,                  0.995,                 0.9545,                 0.3369,                0.24754,                0.84232,               0.003664,               0.003664,               0.003664
                     66,                 0.3608,                0.27903,                 0.9094,                0.99738,                      1,                  0.995,                0.96501,                0.31806,                0.23558,                0.83249,               0.003565,               0.003565,               0.003565
                     67,                 0.3609,                0.28594,                0.90636,                0.99708,                      1,                  0.995,                0.95542,                0.30461,                0.23283,                0.82588,               0.003466,               0.003466,               0.003466
                     68,                0.36454,                0.27638,                0.90093,                0.99675,                      1,                  0.995,                0.94874,                0.30053,                0.22569,                0.82093,               0.003367,               0.003367,               0.003367
                     69,                0.36422,                0.28034,                0.91609,                0.99729,                      1,                  0.995,                0.95258,                0.29703,                0.22846,                0.84323,               0.003268,               0.003268,               0.003268
                     70,                0.35369,                0.27315,                0.91781,                0.99488,                      1,                  0.995,                0.95918,                0.30034,                0.22494,                0.86569,               0.003169,               0.003169,               0.003169
                     71,                0.35323,                0.27406,                0.90183,                0.99743,                      1,                  0.995,                0.97702,                0.28737,                0.21124,                0.88491,                0.00307,                0.00307,                0.00307
                     72,                0.35416,                0.27774,                0.89229,                0.99743,                      1,                  0.995,                0.97357,                0.29298,                0.20508,                0.87646,               0.002971,               0.002971,               0.002971
