                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.2499,                 3.3995,                 1.6457,                0.99699,                      1,                  0.995,                0.77557,                0.81913,                 0.9937,                 1.1658,                 0.0802,                 0.0022,                 0.0022
                      1,                0.88361,                0.68754,                 1.3013,                0.99768,                      1,                  0.995,                0.87992,                0.58561,                0.32435,                 1.0628,               0.059464,              0.0044644,              0.0044644
                      2,                 0.8454,                0.68591,                 1.2253,                0.97806,                      1,                  0.995,                0.86996,                0.63432,                0.43489,                 1.1454,               0.038692,              0.0066923,              0.0066923
                      3,                0.84235,                0.56339,                 1.2093,                0.99723,                      1,                  0.995,                0.91026,                0.46788,                0.42045,                  1.065,               0.017884,              0.0088838,              0.0088838
                      4,                 0.8546,                0.60609,                 1.2169,                0.94164,                0.92223,                0.95603,                0.76665,                0.68069,                0.92688,                 1.2843,              0.0096832,              0.0096832,              0.0096832
                      5,                0.88952,                0.60427,                 1.2547,                0.95021,                0.91429,                0.98622,                0.76688,                0.86267,                0.49268,                 1.3581,              0.0096832,              0.0096832,              0.0096832
                      6,                0.80484,                0.56191,                 1.1705,                0.28452,                    0.4,                0.20795,                0.06737,                 3.0058,                 3.5153,                 4.8393,               0.009604,               0.009604,               0.009604
                      7,                 0.7899,                0.56724,                 1.1891,                0.84906,                0.96447,                0.98342,                0.85183,                0.64988,                 1.3277,                 1.2363,              0.0095248,              0.0095248,              0.0095248
                      8,                0.80888,                0.55562,                 1.1582,                0.93764,                      1,                0.99444,                0.85002,                0.65745,                 1.1797,                 1.2229,              0.0094456,              0.0094456,              0.0094456
                      9,                0.81693,                0.50857,                 1.1712,                0.96458,                      1,                0.99444,                0.89624,                0.49925,                0.57421,                 1.0419,              0.0093664,              0.0093664,              0.0093664
                     10,                0.84216,                 0.5248,                 1.2042,                0.94913,                0.94286,                 0.9754,                0.81731,                0.70531,                0.91248,                  1.192,              0.0092872,              0.0092872,              0.0092872
                     11,                0.81423,                0.52191,                 1.1731,                0.97957,                0.91429,                0.98963,                0.69667,                 1.2107,                0.66022,                 1.6301,               0.009208,               0.009208,               0.009208
                     12,                0.82144,                 0.5205,                 1.1821,                      1,                0.96687,                0.99444,                 0.8596,                 0.5632,                0.68186,                 1.0934,              0.0091288,              0.0091288,              0.0091288
                     13,                0.78785,                0.50787,                 1.1454,                 0.9934,                      1,                  0.995,                 0.8757,                0.55452,                0.48399,                 1.1039,              0.0090496,              0.0090496,              0.0090496
                     14,                0.78508,                0.50167,                  1.165,                0.98751,                      1,                  0.995,                0.86367,                0.47492,                0.35767,                 1.0328,              0.0089704,              0.0089704,              0.0089704
                     15,                0.74626,                0.48809,                 1.1399,                0.98692,                      1,                  0.995,                0.89942,                0.43207,                  0.359,                0.96656,              0.0088912,              0.0088912,              0.0088912
                     16,                0.76607,                0.48435,                 1.1495,                 0.9876,                      1,                  0.995,                0.90013,                0.46861,                0.40698,                0.98993,               0.008812,               0.008812,               0.008812
                     17,                0.78957,                0.47501,                 1.1506,                0.99885,                      1,                  0.995,                0.92642,                0.49372,                0.42207,                 1.0107,              0.0087328,              0.0087328,              0.0087328
                     18,                0.71093,                0.45461,                 1.1214,                0.96959,                      1,                  0.995,                0.87118,                0.64133,                0.66712,                 1.3453,              0.0086536,              0.0086536,              0.0086536
                     19,                0.74592,                0.49036,                  1.138,                0.95791,                0.97143,                0.99209,                0.71641,                0.88649,                 1.1909,                 1.4089,              0.0085744,              0.0085744,              0.0085744
                     20,                0.74486,                0.48254,                  1.129,                0.99176,                0.97143,                0.99091,                0.76287,                0.83518,                0.71731,                 1.3981,              0.0084952,              0.0084952,              0.0084952
                     21,                0.75726,                0.48223,                 1.1202,                0.99784,                      1,                  0.995,                0.90857,                0.52344,                0.48794,                 1.1333,               0.008416,               0.008416,               0.008416
                     22,                  0.723,                0.46932,                 1.1131,                0.99294,                0.97143,                0.97561,                0.79502,                 1.0163,                 0.7575,                  1.584,              0.0083368,              0.0083368,              0.0083368
                     23,                0.72737,                0.44623,                 1.0964,                0.99603,                      1,                  0.995,                0.88687,                0.53271,                0.41861,                 1.0055,              0.0082576,              0.0082576,              0.0082576
                     24,                0.69435,                 0.4247,                 1.0985,                0.96972,                      1,                0.99444,                 0.8629,                0.59265,                0.53273,                 1.0254,              0.0081784,              0.0081784,              0.0081784
                     25,                0.66721,                0.42813,                 1.0732,                0.97124,                      1,                  0.995,                0.92404,                0.48382,                 0.3716,                 1.0368,              0.0080992,              0.0080992,              0.0080992
                     26,                0.68986,                0.44834,                 1.1063,                 0.9967,                      1,                  0.995,                0.85886,                0.56952,                0.35081,                 1.1883,                0.00802,                0.00802,                0.00802
                     27,                0.71028,                0.45929,                 1.0986,                 0.9982,                      1,                  0.995,                0.92476,                0.47185,                0.30184,                 1.0245,              0.0079408,              0.0079408,              0.0079408
                     28,                0.69262,                0.44307,                 1.1007,                0.99409,                      1,                  0.995,                0.92851,                0.40961,                0.34493,                0.95555,              0.0078616,              0.0078616,              0.0078616
                     29,                0.66221,                0.42112,                 1.0623,                0.99781,                      1,                  0.995,                0.94546,                0.37357,                0.29358,                0.96407,              0.0077824,              0.0077824,              0.0077824
                     30,                0.67662,                0.41824,                 1.0666,                0.99441,                      1,                  0.995,                0.91924,                0.45393,                0.33259,                 1.0354,              0.0077032,              0.0077032,              0.0077032
                     31,                0.66698,                0.41039,                 1.0922,                 0.9979,                      1,                  0.995,                0.91466,                0.42888,                0.35355,                0.99963,               0.007624,               0.007624,               0.007624
                     32,                0.67845,                0.40907,                 1.1018,                0.99725,                      1,                  0.995,                0.88543,                0.46984,                   0.34,                 1.0238,              0.0075448,              0.0075448,              0.0075448
                     33,                0.66825,                0.41486,                 1.0797,                 0.9981,                      1,                  0.995,                0.84866,                  0.506,                0.31853,                  1.022,              0.0074656,              0.0074656,              0.0074656
                     34,                0.65395,                0.40095,                 1.0651,                0.99815,                      1,                  0.995,                0.91501,                0.37713,                0.28258,                0.93788,              0.0073864,              0.0073864,              0.0073864
                     35,                0.62556,                0.39339,                 1.0534,                0.99714,                      1,                  0.995,                0.93402,                0.37726,                0.29307,                0.92613,              0.0073072,              0.0073072,              0.0073072
                     36,                0.64146,                0.40353,                 1.0654,                0.99782,                      1,                  0.995,                0.93311,                0.40801,                0.28466,                0.95982,               0.007228,               0.007228,               0.007228
                     37,                0.61211,                0.40293,                 1.0394,                0.99742,                      1,                  0.995,                 0.9343,                0.39156,                0.29555,                 0.9433,              0.0071488,              0.0071488,              0.0071488
                     38,                 0.6336,                0.40593,                 1.0764,                0.98775,                      1,                  0.995,                 0.9192,                0.37287,                0.35947,                0.93161,              0.0070696,              0.0070696,              0.0070696
                     39,                0.60829,                0.38981,                  1.051,                0.99691,                      1,                  0.995,                0.92286,                0.41953,                 0.3555,                0.98577,              0.0069904,              0.0069904,              0.0069904
                     40,                0.65112,                0.40756,                 1.0786,                0.99821,                      1,                  0.995,                0.90012,                0.48157,                0.29238,                 1.0265,              0.0069112,              0.0069112,              0.0069112
                     41,                0.59844,                0.37725,                 1.0483,                0.99839,                      1,                  0.995,                0.88968,                0.60889,                0.31476,                 1.0903,               0.006832,               0.006832,               0.006832
                     42,                0.60614,                0.38304,                 1.0596,                0.99835,                      1,                  0.995,                0.91081,                0.48514,                0.29093,                 1.0163,              0.0067528,              0.0067528,              0.0067528
                     43,                0.60267,                0.36899,                 1.0556,                0.99833,                      1,                  0.995,                0.95816,                0.36505,                0.25444,                0.92081,              0.0066736,              0.0066736,              0.0066736
                     44,                0.61191,                0.37761,                  1.036,                0.99834,                      1,                  0.995,                0.94643,                0.33781,                0.25988,                0.91238,              0.0065944,              0.0065944,              0.0065944
                     45,                0.59525,                0.37404,                 1.0591,                0.98926,                      1,                  0.995,                0.94556,                0.31826,                0.25302,                0.93375,              0.0065152,              0.0065152,              0.0065152
                     46,                0.55968,                0.36442,                 1.0175,                0.99826,                      1,                  0.995,                0.93565,                 0.3691,                0.24374,                0.93692,               0.006436,               0.006436,               0.006436
                     47,                 0.5766,                0.37227,                 1.0269,                0.99787,                      1,                  0.995,                0.93388,                0.35493,                0.26411,                0.91613,              0.0063568,              0.0063568,              0.0063568
                     48,                 0.5653,                0.35545,                 1.0409,                0.99834,                      1,                  0.995,                0.94854,                0.32542,                0.22925,                0.90295,              0.0062776,              0.0062776,              0.0062776
                     49,                0.58796,                0.35825,                 1.0389,                0.99801,                      1,                  0.995,                0.95215,                0.38172,                0.23104,                 0.9452,              0.0061984,              0.0061984,              0.0061984
                     50,                0.56168,                0.34699,                  1.035,                0.99785,                      1,                  0.995,                0.95242,                0.40844,                0.26367,                0.97865,              0.0061192,              0.0061192,              0.0061192
                     51,                 0.5477,                0.34689,                 1.0134,                0.99657,                      1,                  0.995,                0.93933,                0.37067,                0.24144,                0.92878,                0.00604,                0.00604,                0.00604
                     52,                0.55625,                 0.3497,                 1.0166,                0.99803,                      1,                  0.995,                0.95617,                0.38404,                0.24654,                0.93424,              0.0059608,              0.0059608,              0.0059608
                     53,                0.56258,                0.34388,                 1.0399,                0.99794,                      1,                  0.995,                0.96646,                0.37824,                 0.2354,                0.93848,              0.0058816,              0.0058816,              0.0058816
                     54,                0.58121,                0.35937,                 1.0322,                 0.9984,                      1,                  0.995,                0.95695,                0.33595,                0.24602,                0.88832,              0.0058024,              0.0058024,              0.0058024
                     55,                0.54807,                   0.34,                 1.0189,                0.99835,                      1,                  0.995,                0.95944,                 0.3187,                0.24548,                0.87871,              0.0057232,              0.0057232,              0.0057232
                     56,                0.54052,                0.33797,                 1.0044,                 0.9982,                      1,                  0.995,                0.94126,                0.36841,                 0.2297,                 0.9097,               0.005644,               0.005644,               0.005644
                     57,                0.54044,                0.34279,                 1.0091,                0.99837,                      1,                  0.995,                0.95733,                0.32027,                0.23738,                0.90751,              0.0055648,              0.0055648,              0.0055648
