                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.2826,                 2.9788,                 1.7965,                0.97466,                0.96169,                0.99203,                0.93362,                0.36183,                0.76649,                0.92775,                 0.0775,                 0.0025,                 0.0025
                      1,                 1.1377,                 1.0341,                 1.6419,                0.66395,                  0.525,                0.61002,                0.46632,                 1.1934,                 1.6091,                  1.514,               0.054075,              0.0050748,              0.0050748
                      2,                 1.0319,                0.98784,                  1.472,                0.96894,                  0.925,                  0.972,                0.80041,                 0.5704,                0.50958,                 1.0493,               0.030624,              0.0076238,              0.0076238
                      3,                 1.0228,                0.94724,                 1.4746,                0.94235,                   0.95,                0.98452,                0.80744,                0.55577,                0.44665,                 1.0372,              0.0098515,              0.0098515,              0.0098515
                      4,                0.99515,                 0.8233,                  1.452,                0.83278,                   0.55,                0.64725,                0.51735,                 1.0379,                0.85914,                 1.5317,              0.0098515,              0.0098515,              0.0098515
                      5,                0.93723,                0.72283,                 1.3729,                 0.8308,                0.98216,                 0.9613,                0.75141,                0.57282,                 1.0603,                 1.0498,               0.009802,               0.009802,               0.009802
                      6,                0.91782,                0.70744,                 1.3778,                0.81311,                  0.825,                0.88817,                0.68121,                0.81224,                0.81321,                 1.2346,              0.0097525,              0.0097525,              0.0097525
                      7,                 0.8967,                0.66413,                 1.3294,                0.97629,                  0.875,                0.95578,                0.80374,                0.60588,                0.80838,                 1.0261,               0.009703,               0.009703,               0.009703
                      8,                0.92752,                 0.7109,                 1.3624,                0.92746,                      1,                0.99117,                0.83969,                0.64819,                  0.481,                 1.0572,              0.0096535,              0.0096535,              0.0096535
                      9,                0.91102,                0.74537,                 1.3702,                0.98031,                  0.975,                 0.9936,                0.79801,                0.70541,                0.72051,                 1.2074,               0.009604,               0.009604,               0.009604
                     10,                0.91508,                0.65947,                 1.3381,                0.99866,                      1,                  0.995,                0.89067,                0.49523,                0.42138,                0.96419,              0.0095545,              0.0095545,              0.0095545
                     11,                0.91821,                0.66888,                 1.3723,                0.95018,                      1,                  0.995,                0.81872,                0.56112,                 0.5121,                 1.0048,               0.009505,               0.009505,               0.009505
                     12,                0.87586,                0.64737,                 1.3097,                0.97051,                      1,                0.99378,                0.88671,                0.52893,                0.43297,                0.99981,              0.0094555,              0.0094555,              0.0094555
