                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  4.212,                 4.7947,                 4.9479,                      0,                      0,                      0,                      0,                 4.9267,                 5.0002,                 4.1583,                  4e-05,                  4e-05,                  4e-05
                      2,                 4.3177,                 4.5948,                 4.7601,                      0,                      0,                      0,                      0,                 4.9262,                 4.9999,                 4.1578,              9.901e-05,              9.901e-05,              9.901e-05
                      3,                 4.0574,                 4.4226,                 4.5363,                      0,                      0,                      0,                      0,                 4.9263,                 4.9976,                  4.158,             0.00015683,             0.00015683,             0.00015683
                      4,                 3.4687,                 4.6989,                 4.5839,                      0,                      0,                      0,                      0,                 4.9275,                 4.9928,                 4.1594,             0.00021347,             0.00021347,             0.00021347
                      5,                 3.2274,                 3.9936,                 4.3008,                      0,                      0,                      0,                      0,                 4.9303,                  4.987,                 4.1622,             0.00026891,             0.00026891,             0.00026891
                      6,                 3.4665,                 3.6233,                 4.0797,                      0,                      0,                      0,                      0,                 4.9334,                 4.9823,                 4.1654,             0.00032317,             0.00032317,             0.00032317
                      7,                 2.7851,                 3.7861,                 4.1649,                      0,                      0,                      0,                      0,                 4.9416,                 4.9775,                 4.1739,             0.00037624,             0.00037624,             0.00037624
                      8,                 2.7825,                 3.6692,                 3.9177,                      0,                      0,                      0,                      0,                 4.9467,                 4.9756,                 4.1793,             0.00042812,             0.00042812,             0.00042812
                      9,                 3.0768,                 3.2513,                 3.8368,                      0,                      0,                      0,                      0,                 4.9602,                 4.9713,                 4.1937,             0.00047882,             0.00047882,             0.00047882
                     10,                 3.0744,                 3.2076,                 3.7905,                      0,                      0,                      0,                      0,                 4.9684,                 4.9655,                 4.2026,             0.00052832,             0.00052832,             0.00052832
                     11,                 2.8965,                 2.8678,                 3.8732,                      0,                      0,                      0,                      0,                 4.9877,                 4.9418,                 4.2248,             0.00057664,             0.00057664,             0.00057664
